"";"Region";"ProduitsFrais";"Lait";"Epicerie";"Surgele";"Detergents";"Traiteur";"Total";"% ProduitsFrais";"% Lait";"% Epicerie";"% Surgele";"% Detergents";"% Traiteur"
"1";3;12669;9656;7561;214;2674;1338;34112;37;28;22;1;8;4
"2";3;7057;9810;9568;1762;3293;1776;33266;21;29;29;5;10;5
"3";3;6353;8808;7684;2405;3516;7844;36610;17;24;21;7;10;21
"4";3;13265;1196;4221;6404;507;1788;27381;48;4;15;23;2;7
"5";3;22615;5410;7198;3915;1777;5185;46100;49;12;16;8;4;11
"6";3;9413;8259;5126;666;1795;1451;26710;35;31;19;2;7;5
"7";3;12126;3199;6975;480;3140;545;26465;46;12;26;2;12;2
"8";3;7579;4956;9426;1669;3321;2566;29517;26;17;32;6;11;9
"9";3;5963;3648;6192;425;1716;750;18694;32;20;33;2;9;4
"10";3;6006;11093;18881;1159;7425;2098;46662;13;24;40;2;16;4
"11";3;3366;5403;12974;4400;5977;1744;33864;10;16;38;13;18;5
"12";3;13146;1124;4523;1420;549;497;21259;62;5;21;7;3;2
"13";3;31714;12319;11757;287;3881;2931;62889;50;20;19;0;6;5
"14";3;21217;6208;14982;3095;6707;602;52811;40;12;28;6;13;1
"15";3;24653;9465;12091;294;5058;2168;53729;46;18;23;1;9;4
"16";3;10253;1114;3821;397;964;412;16961;60;7;23;2;6;2
"17";3;1020;8816;12121;134;4508;1080;27679;4;32;44;0;16;4
"18";3;5876;6157;2933;839;370;4478;20653;28;30;14;4;2;22
"19";3;18601;6327;10099;2205;2767;3181;43180;43;15;23;5;6;7
"20";3;7780;2495;9464;669;2518;501;23427;33;11;40;3;11;2
"21";3;17546;4519;4602;1066;2259;2124;32116;55;14;14;3;7;7
"22";3;5567;871;2010;3383;375;569;12775;44;7;16;26;3;4
"23";3;31276;1917;4469;9408;2381;4334;53785;58;4;8;17;4;8
"24";3;26373;36423;22019;5154;4337;16523;110829;24;33;20;5;4;15
"25";3;22647;9776;13792;2915;4482;5778;59390;38;16;23;5;8;10
"26";3;16165;4230;7595;201;4003;57;32251;50;13;24;1;12;0
"27";3;9898;961;2861;3151;242;833;17946;55;5;16;18;1;5
"28";3;14276;803;3045;485;100;518;19227;74;4;16;3;1;3
"29";3;4113;20484;25957;1158;8604;5206;65522;6;31;40;2;13;8
"30";3;43088;2100;2609;1200;1107;823;50927;85;4;5;2;2;2
"31";3;18815;3610;11107;1148;2134;2963;39777;47;9;28;3;5;7
"32";3;2612;4339;3133;2088;820;985;13977;19;31;22;15;6;7
"33";3;21632;1318;2886;266;918;405;27425;79;5;11;1;3;1
"34";3;29729;4786;7326;6130;361;1083;49415;60;10;15;12;1;2
"35";3;1502;1979;2262;425;483;395;7046;21;28;32;6;7;6
"36";3;688;5491;11091;833;4239;436;22778;3;24;49;4;19;2
